"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","rating"
"285",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,"Poor"
"286",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,"Average"
"287",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,"Average"
"288",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,"Average"
"289",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,"Average"
"290",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,"Poor"
"291",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,"Average"
"292",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,"Average"
"293",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,"Poor"
"294",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,"Average"
"295",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,"Average"
"296",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,"Average"
"297",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,"Average"
"298",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,"Poor"
"299",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,"Poor"
"300",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"Average"
"301",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,"Average"
"302",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"Average"
"303",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,"Poor"
"304",10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,"Poor"
"305",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,"Average"
"306",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,"Average"
"307",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,"Average"
"308",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,"Poor"
"309",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,"Average"
"310",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,"Average"
"311",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,"Average"
"312",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,"Average"
"313",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"Average"
"314",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,"Average"
"315",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"Average"
"316",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"Average"
"317",7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,"Poor"
"318",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,"Average"
"319",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,"Average"
"320",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,"Average"
"321",9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,"Average"
"322",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,"Good"
"323",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,"Average"
"324",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,"Poor"
"325",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,"Poor"
"326",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,"Poor"
"327",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"Poor"
"328",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"Average"
"329",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"Average"
"330",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,"Poor"
"331",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"Poor"
"332",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,"Average"
"333",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,"Average"
"334",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,"Average"
"335",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,"Poor"
"336",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,"Average"
"337",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,"Average"
"338",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,"Average"
"339",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,"Average"
"340",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,"Poor"
"341",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,"Average"
"342",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,"Poor"
"343",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,"Poor"
"344",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"Average"
"345",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,"Poor"
"346",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,"Poor"
"347",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,"Average"
"348",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,"Poor"
"349",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,"Average"
"350",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,"Average"
"351",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"Poor"
"352",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,"Average"
"353",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"Poor"
"354",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"Average"
"355",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,"Average"
"356",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,"Average"
"357",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,"Poor"
"358",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,"Average"
"359",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"Poor"
"360",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"Poor"
"361",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,"Average"
"362",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,"Average"
"363",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,"Poor"
"364",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,"Good"
"365",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,"Average"
"366",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,"Average"
"367",10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,"Average"
"368",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,"Average"
"369",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,"Average"
"370",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,"Poor"
"371",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,"Average"
"372",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,"Average"
"373",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,"Average"
"374",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,"Average"
"375",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,"Average"
"376",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,"Poor"
"377",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,"Poor"
"378",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,"Poor"
"379",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,"Average"
"380",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,"Poor"
"381",11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,"Poor"
"382",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,"Poor"
"383",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,"Average"
"384",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,"Poor"
"385",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,"Average"
"386",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,"Average"
"387",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,"Poor"
"388",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,"Poor"
"389",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,"Average"
"390",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,"Poor"
"391",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,"Average"
"392",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,"Poor"
"393",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,"Poor"
"394",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,"Average"
"395",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,"Poor"
"396",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,"Average"
"397",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,"Poor"
"398",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,"Good"
"399",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,"Poor"
"400",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,"Poor"
"401",10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,"Average"
"402",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"Poor"
"403",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"Poor"
"404",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,"Average"
"405",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,"Average"
"406",9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,"Average"
"407",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,"Average"
"408",9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,"Average"
"409",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,"Average"
"410",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"Average"
"411",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"Good"
"412",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"Average"
"413",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,"Poor"
"414",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"Good"
"415",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"Average"
"416",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"Average"
"417",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"Average"
"418",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"Average"
"419",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,"Average"
"420",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,"Average"
"421",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,"Average"
"422",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,"Average"
"423",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,"Average"
"424",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,"Average"
"425",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,"Poor"
"426",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,"Average"
"427",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,"Average"
"428",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,"Average"
"429",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,"Average"
"430",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,"Poor"
"431",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,"Average"
"432",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,"Poor"
"433",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,"Average"
"434",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,"Poor"
"435",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,"Poor"
"436",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,"Poor"
"437",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,"Poor"
"438",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,"Poor"
"439",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,"Poor"
"440",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,"Average"
"441",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,"Average"
"442",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,"Poor"
"443",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"Average"
"444",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,"Poor"
"445",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,"Poor"
"446",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,"Average"
"447",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"Average"
"448",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,"Poor"
"449",9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,"Poor"
"450",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,"Average"
"451",9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,"Poor"
"452",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,"Average"
"453",9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,"Poor"
"454",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,"Average"
"455",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,"Average"
"456",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,"Average"
"457",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,"Average"
"458",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,"Average"
"459",9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,"Average"
"460",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,"Average"
"461",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"Poor"
"462",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"Poor"
"463",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"Average"
"464",15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"Poor"
"465",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"Average"
"466",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,"Average"
"467",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"Poor"
"468",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,"Poor"
"469",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,"Average"
"470",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,"Average"
"471",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"Poor"
"472",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,"Average"
"473",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,"Average"
"474",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,"Average"
"475",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,"Average"
"476",10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,"Poor"
"477",10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"Poor"
"478",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,"Average"
"479",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,"Average"
"480",8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,"Poor"
"481",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,"Poor"
"482",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,"Average"
"483",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"Poor"
"484",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,"Poor"
"485",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,"Average"
"486",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,"Average"
"487",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,"Average"
"488",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,"Poor"
"489",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,"Good"
"490",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,"Average"
"491",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,"Poor"
"492",6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,"Average"
"493",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,"Poor"
"494",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,"Poor"
"495",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,"Poor"
"496",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,"Average"
"497",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,"Average"
"498",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,"Average"
"499",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,"Average"
"500",8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,"Poor"
"501",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"Average"
"502",7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,"Poor"
"503",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"Average"
"504",8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,"Average"
"505",8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,"Average"
"506",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,"Average"
"507",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,"Average"
"508",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,"Average"
"509",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,"Poor"
"510",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,"Poor"
"511",9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,"Average"
"512",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,"Poor"
"513",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,"Poor"
"514",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,"Average"
"515",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,"Poor"
"516",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,"Poor"
"517",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,"Poor"
"518",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,"Poor"
"519",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,"Average"
"520",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,"Poor"
"521",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,"Poor"
"522",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,"Poor"
"523",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,"Average"
"524",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,"Poor"
"525",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,"Average"
"526",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,"Poor"
"527",7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,"Average"
"528",10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Poor"
"529",8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,"Poor"
"530",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,"Poor"
"531",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,"Average"
"532",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,"Average"
"533",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,"Poor"
"534",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,"Poor"
"535",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,"Poor"
"536",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,"Poor"
"537",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,"Average"
"538",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,"Poor"
"539",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,"Average"
"540",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,"Average"
"541",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"Poor"
"542",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,"Poor"
"543",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,"Poor"
"544",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,"Average"
"545",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,"Poor"
"546",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,"Poor"
"547",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"Poor"
"548",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,"Average"
"549",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,"Average"
"550",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Poor"
"551",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,"Average"
"552",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,"Average"
"553",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,"Average"
"554",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,"Poor"
"555",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,"Average"
"556",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"Average"
"557",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,"Poor"
"558",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"Average"
"559",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,"Poor"
"560",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,"Poor"
"561",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,"Poor"
"562",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,"Poor"
"563",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"Average"
"564",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,"Poor"
"565",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,"Poor"
"566",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,"Poor"
"567",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,"Average"
"568",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,"Poor"
"569",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"Poor"
"570",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"Poor"
"571",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,"Poor"
